unix_timestamp,value
1703199600,0.0
1703203200,0.0
1703206800,0.0
1703210400,0.0
1703214000,0.0
1703217600,0.0
1703221200,0.23
1703224800,0.46
1703228400,0.92
1703232000,1.15
1703235600,2.76
1703239200,3.91
1703242800,4.6
1703246400,1.15
1703250000,0.46
1703253600,0.23
1703257200,0.0
1703260800,0.0
1703264400,0.0
1703268000,0.0
1703271600,0.0
1703275200,0.0
1703278800,0.0
1703282400,0.0
1703286000,0.0
1703289600,0.0
1703293200,0.0
1703296800,0.0
1703300400,0.0
1703304000,0.0
1703307600,0.23
1703311200,0.46
1703314800,0.92
1703318400,1.15
1703322000,2.76
1703325600,3.91
1703329200,4.6
1703332800,1.15
1703336400,0.46
1703340000,0.23
1703343600,0.0
1703347200,0.0
1703350800,0.0
1703354400,0.0
1703358000,0.0
1703361600,0.0
1703365200,0.0
1703368800,0.0
1703372400,0.0
1703376000,0.0
1703379600,0.0
1703383200,0.0
1703386800,0.0
1703390400,0.0
1703394000,0.23
1703397600,0.46
1703401200,0.92
1703404800,1.15
1703408400,2.76
1703412000,3.91
1703415600,4.6
1703419200,1.15
1703422800,0.46
1703426400,0.23
1703430000,0.0
1703433600,0.0
1703437200,0.0
1703440800,0.0
1703444400,0.0
1703448000,0.0
1703451600,0.0
1703455200,0.0
1703458800,0.0
1703462400,0.0
1703466000,0.0
1703469600,0.0
1703473200,0.0
1703476800,0.0
1703480400,0.23
1703484000,0.46
1703487600,0.92
1703491200,1.15
1703494800,2.76
1703498400,3.91
1703502000,4.6
1703505600,1.15
1703509200,0.46
1703512800,0.23
1703516400,0.0
1703520000,0.0
1703523600,0.0
1703527200,0.0
1703530800,0.0
1703534400,0.0
1703538000,0.0
1703541600,0.0
1703545200,0.0
1703548800,0.0
1703552400,0.0
1703556000,0.0
1703559600,0.0
1703563200,0.0
1703566800,0.23
1703570400,0.46
1703574000,0.92
1703577600,1.15
1703581200,2.76
1703584800,3.91
1703588400,4.6
1703592000,1.15
1703595600,0.46
1703599200,0.23
1703602800,0.0
1703606400,0.0
1703610000,0.0
1703613600,0.0
1703617200,0.0
1703620800,0.0
1703624400,0.0
1703628000,0.0
1703631600,0.0
1703635200,0.0
1703638800,0.0
1703642400,0.0
1703646000,0.0
1703649600,0.0
1703653200,0.23
1703656800,0.46
1703660400,0.92
1703664000,1.15
1703667600,2.76
1703671200,3.91
1703674800,4.6
1703678400,1.15
1703682000,0.46
1703685600,0.23
1703689200,0.0
1703692800,0.0
1703696400,0.0
1703700000,0.0
1703703600,0.0
1703707200,0.0
1703710800,0.0
1703714400,0.0
1703718000,0.0
1703721600,0.0
1703725200,0.0
1703728800,0.0
1703732400,0.0
1703736000,0.0
1703739600,0.23
1703743200,0.46
1703746800,0.92
1703750400,1.15
1703754000,2.76
1703757600,3.91
1703761200,4.6
1703764800,1.15
1703768400,0.46
1703772000,0.23
1703775600,0.0
1703779200,0.0
1703782800,0.0
1703786400,0.0
1703790000,0.0
1703793600,0.0
1703797200,0.0
1703800800,0.0
1703804400,0.0
1703808000,0.0
1703811600,0.0
1703815200,0.0
1703818800,0.0
1703822400,0.0
1703826000,0.23
1703829600,0.46
1703833200,0.92
1703836800,1.15
1703840400,2.76
1703844000,3.91
1703847600,4.6
1703851200,1.15
1703854800,0.46
1703858400,0.23
1703862000,0.0
1703865600,0.0
1703869200,0.0
1703872800,0.0
1703876400,0.0
1703880000,0.0
1703883600,0.0
1703887200,0.0
1703890800,0.0
1703894400,0.0
1703898000,0.0
1703901600,0.0
1703905200,0.0
1703908800,0.0
1703912400,0.23
1703916000,0.46
1703919600,0.92
1703923200,1.15
1703926800,2.76
1703930400,3.91
1703934000,4.6
1703937600,1.15
1703941200,0.46
1703944800,0.23
1703948400,0.0
1703952000,0.0
1703955600,0.0
1703959200,0.0
1703962800,0.0
1703966400,0.0
1703970000,0.0
1703973600,0.0
1703977200,0.0
1703980800,0.0
1703984400,0.0
1703988000,0.0
1703991600,0.0
1703995200,0.0
1703998800,0.23
1704002400,0.46
1704006000,0.92
1704009600,1.15
1704013200,2.76
1704016800,3.91
1704020400,4.6
1704024000,1.15
1704027600,0.46
1704031200,0.23
1704034800,0.0
1704038400,0.0
1704042000,0.0
1704045600,0.0
1704049200,0.0
1704052800,0.0
1704056400,0.0
1704060000,0.0
1704063600,0.0
1704067200,0.0
1704070800,0.0
1704074400,0.0
1704078000,0.0
1704081600,0.0
1704085200,0.23
1704088800,0.46
1704092400,0.92
1704096000,1.15
1704099600,2.76
1704103200,3.91
1704106800,4.6
1704110400,1.15
1704114000,0.46
1704117600,0.23
1704121200,0.0
1704124800,0.0
1704128400,0.0
1704132000,0.0
1704135600,0.0
